NOMBRE,PROTEINAS_DIARIAS_G,CARBOHIDRATOS_DIARIOS_G,HIDRATACION_DIARIA_L,CALORIAS_DIARIAS,PLAN_NUTRICION
LUIS PÉREZ,132,306,3.6,3800,"Alta proteína, moderado carbohidrato"
KI-JANA HOEVER,152,223,4.9,3326,Alto carbohidrato para rendimiento
OUSMANE BARRY,189,201,4.9,3242,Enfoque en recuperación muscular
FACUNDO BERNAL,163,288,4.3,3344,Equilibrado en macronutrientes
SALEH AL-ABBAS,127,345,3.3,3354,Plan mediterráneo adaptado
DANI CÁRDENAS,99,231,4.1,3915,Alto carbohidrato para rendimiento
FILIP KOSTIĆ,93,212,3.1,2757,"Alta proteína, moderado carbohidrato"
TOBIAS KLYSNER,121,330,4.6,2745,Enfoque en recuperación muscular
DIEGO GONÇALVES,170,430,3.6,3284,Plan mediterráneo adaptado
THIAGO PERUGINI,137,356,3.6,2563,Plan mediterráneo adaptado
RICARDO VISUS,122,282,3.9,3636,Alto carbohidrato para rendimiento
DARKO LAZOVIĆ,196,364,3.1,2517,"Alta proteína, moderado carbohidrato"
ABDELKADER BEDRANE,144,431,4.3,3899,"Alta proteína, moderado carbohidrato"
JORDAN LARSSON,106,285,4.5,3993,Alto carbohidrato para rendimiento
HUGO KETO,92,323,4.6,2619,Equilibrado en macronutrientes
TAULANT SEFERI,82,262,3.1,2509,Enfoque en recuperación muscular
HERNÁN LÓPEZ,178,411,3.9,2783,Plan mediterráneo adaptado
GABRIEL DÍAZ,135,235,3.7,3742,"Alta proteína, moderado carbohidrato"
JAKOB DUNSBY,197,446,3.0,2672,"Alta proteína, moderado carbohidrato"
MANDELA KEITA,173,248,4.9,3601,Equilibrado en macronutrientes
JOACHIM ANDERSEN,151,339,3.2,3435,Enfoque en recuperación muscular
TÉJI SAVANIER,106,304,3.1,3637,Enfoque en recuperación muscular
JOEY VEERMAN,161,377,3.4,3872,Equilibrado en macronutrientes
JULIUS DIRKSEN,152,247,4.2,3140,Alto carbohidrato para rendimiento
HJALTE BIDSTRUP,146,389,3.9,2584,Plan mediterráneo adaptado
DAVID BATES,155,275,4.0,2967,"Alta proteína, moderado carbohidrato"
JULIÁN ESEIZA,149,401,4.6,3918,Alto carbohidrato para rendimiento
MANUEL LANZINI,93,449,4.5,3072,Alto carbohidrato para rendimiento
ANTE BUDIMIR,154,253,4.1,3880,"Alta proteína, moderado carbohidrato"
ALEXANDER MACHADO,154,373,4.3,3894,Enfoque en recuperación muscular
NINO ZUGELJ,163,237,4.0,3724,Plan mediterráneo adaptado
ANTHONY LOPES,112,297,4.9,3721,"Alta proteína, moderado carbohidrato"
MAKSIM PALIENKO,139,235,3.9,3739,Plan mediterráneo adaptado
MOUSTAFA ZEIDAN,149,275,2.8,2589,Plan mediterráneo adaptado
THOMAS RODRÍGUEZ,125,344,4.9,2731,Enfoque en recuperación muscular
ESPEN RUUD,148,373,5.0,3327,Alto carbohidrato para rendimiento
JULIÁN BREA,139,229,2.8,3892,"Alta proteína, moderado carbohidrato"
CRISTIAN ROMERO,103,427,3.1,3079,Enfoque en recuperación muscular
LUUK DE JONG,140,418,3.4,3904,Enfoque en recuperación muscular
TOMÁS POZZO,123,399,4.9,2571,"Alta proteína, moderado carbohidrato"
MATEUS FERNANDES,113,371,3.5,2657,Equilibrado en macronutrientes
DAVID DE GEA,120,250,3.5,2627,Enfoque en recuperación muscular
JORDAN HENDERSON,167,361,3.6,3177,"Alta proteína, moderado carbohidrato"
AYOZE PÉREZ,174,288,4.1,3219,Enfoque en recuperación muscular
RODRIGO BENTANCUR,117,444,4.2,3534,Equilibrado en macronutrientes
THIAGO OJEDA,130,319,2.6,3442,Enfoque en recuperación muscular
MARTIN LINNES,198,363,4.2,3943,Alto carbohidrato para rendimiento
AIDEN O'NEILL,191,352,3.5,3881,"Alta proteína, moderado carbohidrato"
HUSSAIN AL-ZARIE,146,387,3.2,3861,Plan mediterráneo adaptado
VEYSEL SARI,122,272,3.9,2767,Enfoque en recuperación muscular
SEAN LONGSTAFF,197,348,4.2,3107,"Alta proteína, moderado carbohidrato"
NAVES,169,223,2.5,2821,Alto carbohidrato para rendimiento
MAJED QASHEESH,130,224,3.2,3585,Alto carbohidrato para rendimiento
IAN LÓPEZ,158,337,3.6,3638,Enfoque en recuperación muscular
DAVID SIMÃO,178,381,2.7,2901,Alto carbohidrato para rendimiento
JAY-DAVID MBALANDA,178,353,3.6,3154,Enfoque en recuperación muscular
SIMONE PERILLI,146,212,4.6,2909,Equilibrado en macronutrientes
NICOLAS PAYS,88,352,3.4,3621,Alto carbohidrato para rendimiento
ANDONI GOROSABEL,127,226,2.8,3115,Equilibrado en macronutrientes
JONATHAN TAH,87,339,4.3,3901,Equilibrado en macronutrientes
IVAN INZOUDINE,139,416,4.5,2620,Enfoque en recuperación muscular
KIRILL KAPLENKO,113,243,4.8,3647,"Alta proteína, moderado carbohidrato"
NIKOLAY GIORGOBIANI,171,415,3.4,2991,Alto carbohidrato para rendimiento
FABIÁN ESPINOZA,190,416,3.5,3764,Alto carbohidrato para rendimiento
JENS MATHIJSEN,172,395,3.0,2730,Alto carbohidrato para rendimiento
MAXIMILIANO QUINTEROS,114,349,4.6,3482,Enfoque en recuperación muscular
BOSKO SUTALO,146,429,2.7,3941,Plan mediterráneo adaptado
NOAH HOLM,83,346,3.8,2724,Enfoque en recuperación muscular
RÚNAR THÓR SIGURGEIRSSON,190,305,2.8,3015,Enfoque en recuperación muscular
SANTIAGO PIEROTTI,135,426,3.9,2605,Plan mediterráneo adaptado
SIDOINE FOGNING,110,395,3.5,3792,Enfoque en recuperación muscular
JOËL VELTMAN,110,281,3.3,3666,"Alta proteína, moderado carbohidrato"
BRAYAN PALMEZANO,194,379,3.9,3838,Equilibrado en macronutrientes
MOHANNAD ABU TAHA,98,337,2.8,3119,Alto carbohidrato para rendimiento
IBRAHIM SULEMANA,91,305,4.0,3409,Equilibrado en macronutrientes
DARÍO SARMIENTO,142,228,2.9,3935,Alto carbohidrato para rendimiento
FELIPE ZENOBIO,83,206,4.7,2930,Alto carbohidrato para rendimiento
LAUTARO RÍOS,93,280,3.9,2779,Alto carbohidrato para rendimiento
OSVALDO BOSSO,87,311,3.2,3114,"Alta proteína, moderado carbohidrato"
NICOLÁS QUAGLIATA,119,265,4.0,3772,"Alta proteína, moderado carbohidrato"
ULRIK FREDRIKSEN,150,286,3.4,3876,Plan mediterráneo adaptado
AURÉLIEN TCHOUAMÉNI,85,276,4.4,2659,Alto carbohidrato para rendimiento
ADRIANO FREITAS,172,221,2.7,2576,"Alta proteína, moderado carbohidrato"
JUAN VIACAVA,103,250,4.2,3678,Plan mediterráneo adaptado
MATHEUS DIAS,136,210,3.9,3791,"Alta proteína, moderado carbohidrato"
WILLIAN,101,300,4.3,3063,Enfoque en recuperación muscular
KLIVER MORENO,171,270,4.1,3422,Alto carbohidrato para rendimiento
CÉSAR FUENTES,90,212,4.4,2640,"Alta proteína, moderado carbohidrato"
GIANLUIGI DONNARUMMA,159,431,2.5,3194,"Alta proteína, moderado carbohidrato"
NILTON,109,339,4.5,3062,Plan mediterráneo adaptado
GASTÓN HERNÁNDEZ,92,249,4.9,2890,"Alta proteína, moderado carbohidrato"
FABIANO,166,351,3.4,3753,Plan mediterráneo adaptado
XAVER SCHLAGER,137,320,2.7,3664,Alto carbohidrato para rendimiento
SERGIO CAMELLO,104,388,4.0,3940,Equilibrado en macronutrientes
PEDRO GONÇALVES,103,264,2.9,2937,Plan mediterráneo adaptado
SANTIAGO ESQUIVEL,159,415,3.1,3431,"Alta proteína, moderado carbohidrato"
ARDA KIZILDAĞ,120,253,4.5,2909,Enfoque en recuperación muscular
DENIS VAVRO,150,201,3.5,2566,Alto carbohidrato para rendimiento
RUBEN KLUIVERT,195,446,4.2,3514,Enfoque en recuperación muscular
IGNACIO ARCE,161,247,2.7,3121,Equilibrado en macronutrientes
FAHAD AL-ABDULRAZZAQ,86,228,3.6,3219,Plan mediterráneo adaptado
RYOTARO ITO,105,378,3.3,2748,Enfoque en recuperación muscular
NICOLÁS FERNÁNDEZ (SUB),168,222,3.9,2652,Alto carbohidrato para rendimiento
DILANE BAKWA,101,295,4.2,3315,Plan mediterráneo adaptado
LASSE NILSEN,83,291,3.4,2630,Alto carbohidrato para rendimiento
MARCO RIBEIRO,98,421,3.4,2854,Enfoque en recuperación muscular
PEDRO REBOCHO,173,397,3.9,3634,Plan mediterráneo adaptado
CRISTIAN GUANCA,150,361,2.7,2595,Enfoque en recuperación muscular
DARRYL BAKOLA,131,354,2.9,2951,Equilibrado en macronutrientes
RÚBEN LIMA,156,293,3.6,2606,Alto carbohidrato para rendimiento
GABRIEL SARA,128,427,4.9,3857,Plan mediterráneo adaptado
MARKUS HAALAND,141,267,2.8,3006,"Alta proteína, moderado carbohidrato"
MOHAMMAD AL-SALKHADI,98,324,4.8,3132,Alto carbohidrato para rendimiento
GIAN FRANCO ALLALA,99,213,4.9,2833,Equilibrado en macronutrientes
ALBERTO MANZONI,191,293,4.8,2743,Enfoque en recuperación muscular
OLIVER EDVARDSEN,86,260,4.4,2802,Equilibrado en macronutrientes
DODI,115,307,3.9,3979,Equilibrado en macronutrientes
HÉLIO VARELA,144,292,4.2,3910,Alto carbohidrato para rendimiento
PAUL JOLY,176,357,2.5,2709,Alto carbohidrato para rendimiento
ESTEBAN DA SILVA,161,282,4.3,3683,"Alta proteína, moderado carbohidrato"
OLEKSANDR ZUBKOV,190,340,3.7,3642,Equilibrado en macronutrientes
PATRICK WIMMER,134,313,5.0,2981,Plan mediterráneo adaptado
MOSES MAWA,96,303,4.3,2554,"Alta proteína, moderado carbohidrato"
ALEJO CRUZ,197,259,2.8,3215,Equilibrado en macronutrientes
LUIS SINISTERRA,142,275,2.8,3682,"Alta proteína, moderado carbohidrato"
GABRIEL BARÈS,108,250,4.3,3417,"Alta proteína, moderado carbohidrato"
ENZO MARTÍNEZ,158,262,4.4,2859,Equilibrado en macronutrientes
MIKHAIL OPARIN,160,210,3.1,3917,Equilibrado en macronutrientes
MIKEL JAUREGIZAR,154,332,3.9,3404,Equilibrado en macronutrientes
FRANCO TORGNASCIOLI,162,432,4.8,2806,Alto carbohidrato para rendimiento
VITO VAN CROOIJ,174,230,4.4,3159,Equilibrado en macronutrientes
DOUGLAS SANTOS,84,204,4.5,3430,"Alta proteína, moderado carbohidrato"
TOBIAS STORM,166,313,3.4,3969,"Alta proteína, moderado carbohidrato"
ABNER,178,302,3.7,3289,Alto carbohidrato para rendimiento
DMYTRO IVANISENYA,180,336,3.4,2670,Equilibrado en macronutrientes
AYUMU OHATA,157,428,4.0,2508,Plan mediterráneo adaptado
PABLO PÉREZ,130,419,4.1,2603,Alto carbohidrato para rendimiento
EMIL ØDEGAARD,104,225,3.6,3798,Alto carbohidrato para rendimiento
DJIBRIL DIOP,186,326,4.4,3229,Alto carbohidrato para rendimiento
FÉLIX LEMARÉCHAL,122,277,4.1,3022,Enfoque en recuperación muscular
RASMUS KRISTENSEN,102,220,4.4,3602,"Alta proteína, moderado carbohidrato"
WILMER ODEFALK,198,404,3.3,3754,Equilibrado en macronutrientes
JULIAN NIEHUES,103,417,4.1,3286,Plan mediterráneo adaptado
JAKOB VESTER,189,296,2.5,3491,Alto carbohidrato para rendimiento
LUDVIG BEGBY,109,247,4.8,3988,Enfoque en recuperación muscular
PIOTR JOHANSSON,93,363,3.1,3810,"Alta proteína, moderado carbohidrato"
SANDER KARTUM,178,260,3.4,3065,Alto carbohidrato para rendimiento
YAW PAINTSIL,120,403,4.0,2601,Enfoque en recuperación muscular
NEWTON,119,218,4.0,2555,Equilibrado en macronutrientes
WALDEMAR ANTON,170,321,2.8,3069,Plan mediterráneo adaptado
JOHN PAUL DEMBE,164,389,4.3,2956,Plan mediterráneo adaptado
